# argv: /kaggle/working/llama.cpp-prune/build/bin/llama-server -m /kaggle/working/models/llava-v1.5-7b-Q4_K_M.gguf --mmproj /kaggle/working/models/llava-v1.5-7b-mmproj-model-f16.gguf -t 8 -tb 8 -b 2048 -ub 1024 --jinja --chat-template {%- for message in messages -%}{%- if message['role'] == 'system' -%}{{ message['content'] }}{%- elif message['role'] == 'user' -%} USER: {{ message['content'] }}{%- elif message['role'] == 'assistant' -%} ASSISTANT: {{ message['content'] }}</s>{%- endif -%}{%- endfor -%}{%- if add_generation_prompt -%} ASSISTANT:{%- endif -%} --visual-keep 0.05 --visual-prune-method cls --host 127.0.0.1 --port 8812 -ngl 999
0.00.022.541 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.094.982 W srv  llama_server: -----------------
0.00.094.990 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.094.990 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.094.991 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.094.991 W srv  llama_server: -----------------
0.00.096.464 I srv    load_model: loading model '/kaggle/working/models/llava-v1.5-7b-Q4_K_M.gguf'
0.01.667.815 W load_tensors: ffn up/down are swapped
0.01.953.501 I srv    load_model: loaded multimodal model, '/kaggle/working/models/llava-v1.5-7b-mmproj-model-f16.gguf'
0.01.987.831 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'true'
0.01.990.594 I srv  llama_server: model loaded
0.01.990.608 I srv  llama_server: listening on http://127.0.0.1:8812
0.03.971.329 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.03.971.418 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.04.731.818 I slot print_timing: id  3 | task 0 | prompt eval time =     734.56 ms /    85 tokens (    8.64 ms per token,   115.72 tokens per second)
0.04.731.831 I slot print_timing: id  3 | task 0 |        eval time =      25.76 ms /     2 tokens (   12.88 ms per token,    77.63 tokens per second)
0.04.731.832 I slot print_timing: id  3 | task 0 |       total time =     760.33 ms /    87 tokens
0.04.731.840 I slot print_timing: id  3 | task 0 |    graphs reused =          1
0.04.731.931 I slot      release: id  3 | task 0 | stop processing: n_tokens = 86, truncated = 0
0.04.791.882 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.800 (> 0.100 thold), f_keep = 0.791
0.04.791.953 I slot launch_slot_: id  3 | task 4 | processing task, is_child = 0
0.05.023.847 I slot print_timing: id  3 | task 4 | prompt eval time =     207.93 ms /    17 tokens (   12.23 ms per token,    81.76 tokens per second)
0.05.023.858 I slot print_timing: id  3 | task 4 |        eval time =      23.92 ms /     2 tokens (   11.96 ms per token,    83.61 tokens per second)
0.05.023.860 I slot print_timing: id  3 | task 4 |       total time =     231.85 ms /    19 tokens
0.05.023.861 I slot print_timing: id  3 | task 4 |    graphs reused =          1
0.05.023.918 I slot      release: id  3 | task 4 | stop processing: n_tokens = 86, truncated = 0
0.05.084.395 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.810 (> 0.100 thold), f_keep = 0.791
0.05.084.461 I slot launch_slot_: id  3 | task 7 | processing task, is_child = 0
0.05.332.158 I slot print_timing: id  3 | task 7 | prompt eval time =     223.68 ms /    16 tokens (   13.98 ms per token,    71.53 tokens per second)
0.05.332.169 I slot print_timing: id  3 | task 7 |        eval time =      23.97 ms /     2 tokens (   11.99 ms per token,    83.43 tokens per second)
0.05.332.171 I slot print_timing: id  3 | task 7 |       total time =     247.66 ms /    18 tokens
0.05.332.173 I slot print_timing: id  3 | task 7 |    graphs reused =          1
0.05.332.221 I slot      release: id  3 | task 7 | stop processing: n_tokens = 85, truncated = 0
0.05.391.864 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.810 (> 0.100 thold), f_keep = 0.800
0.05.391.921 I slot launch_slot_: id  3 | task 10 | processing task, is_child = 0
0.05.630.725 I slot print_timing: id  3 | task 10 | prompt eval time =     214.81 ms /    16 tokens (   13.43 ms per token,    74.49 tokens per second)
0.05.630.737 I slot print_timing: id  3 | task 10 |        eval time =      23.92 ms /     2 tokens (   11.96 ms per token,    83.60 tokens per second)
0.05.630.738 I slot print_timing: id  3 | task 10 |       total time =     238.73 ms /    18 tokens
0.05.630.739 I slot print_timing: id  3 | task 10 |    graphs reused =          1
