# argv: /Users/waleedabuujaish/Desktop/vtp/llama.cpp/build-prune/bin/llama-server -m models/llava-v1.5-7b-Q4_K_M.gguf --mmproj models/llava-v1.5-7b-mmproj-model-f16.gguf -t 8 -tb 8 -b 2048 -ub 1024 --jinja --chat-template {%- for message in messages -%}{%- if message['role'] == 'system' -%}{{ message['content'] }}{%- elif message['role'] == 'user' -%} USER: {{ message['content'] }}{%- elif message['role'] == 'assistant' -%} ASSISTANT: {{ message['content'] }}</s>{%- endif -%}{%- endfor -%}{%- if add_generation_prompt -%} ASSISTANT:{%- endif -%} --visual-keep 0.1 --visual-prune-method cls --host 127.0.0.1 --port 8811
0.00.005.442 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.005.686 W srv  llama_server: -----------------
0.00.005.688 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.005.688 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.005.688 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.005.688 W srv  llama_server: -----------------
0.00.007.468 I srv    load_model: loading model 'models/llava-v1.5-7b-Q4_K_M.gguf'
0.03.191.704 W load_tensors: ffn up/down are swapped
0.03.505.260 I srv    load_model: loaded multimodal model, 'models/llava-v1.5-7b-mmproj-model-f16.gguf'
0.03.573.255 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'true'
0.03.574.890 I srv  llama_server: model loaded
0.03.574.893 I srv  llama_server: listening on http://127.0.0.1:8811
0.04.051.739 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.04.051.768 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.05.999.231 I slot print_timing: id  3 | task 0 | prompt eval time =    1905.17 ms /   144 tokens (   13.23 ms per token,    75.58 tokens per second)
0.05.999.234 I slot print_timing: id  3 | task 0 |        eval time =      42.27 ms /     3 tokens (   14.09 ms per token,    70.97 tokens per second)
0.05.999.234 I slot print_timing: id  3 | task 0 |       total time =    1947.44 ms /   147 tokens
0.05.999.235 I slot print_timing: id  3 | task 0 |    graphs reused =          2
0.05.999.253 I slot      release: id  3 | task 0 | stop processing: n_tokens = 146, truncated = 0
0.06.039.354 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.243 (> 0.100 thold), f_keep = 0.233
0.06.045.452 I slot launch_slot_: id  3 | task 5 | processing task, is_child = 0
0.07.723.763 I slot print_timing: id  3 | task 5 | prompt eval time =    1612.58 ms /   106 tokens (   15.21 ms per token,    65.73 tokens per second)
0.07.723.766 I slot print_timing: id  3 | task 5 |        eval time =      65.72 ms /     4 tokens (   16.43 ms per token,    60.87 tokens per second)
0.07.723.767 I slot print_timing: id  3 | task 5 |       total time =    1678.29 ms /   110 tokens
0.07.723.767 I slot print_timing: id  3 | task 5 |    graphs reused =          4
0.07.723.780 I slot      release: id  3 | task 5 | stop processing: n_tokens = 143, truncated = 0
0.07.771.217 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.199 (> 0.100 thold), f_keep = 0.238
0.07.777.888 I slot launch_slot_: id  3 | task 10 | processing task, is_child = 0
