# argv: /kaggle/working/llama.cpp-prune/build/bin/llama-server -m /kaggle/working/models/llava-v1.5-7b-Q4_K_M.gguf --mmproj /kaggle/working/models/llava-v1.5-7b-mmproj-model-f16.gguf -t 8 -tb 8 -b 2048 -ub 1024 --jinja --chat-template {%- for message in messages -%}{%- if message['role'] == 'system' -%}{{ message['content'] }}{%- elif message['role'] == 'user' -%} USER: {{ message['content'] }}{%- elif message['role'] == 'assistant' -%} ASSISTANT: {{ message['content'] }}</s>{%- endif -%}{%- endfor -%}{%- if add_generation_prompt -%} ASSISTANT:{%- endif -%} --visual-keep 0.1 --visual-prune-method cls --host 127.0.0.1 --port 8812 -ngl 999
0.00.022.325 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.094.217 W srv  llama_server: -----------------
0.00.094.226 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.094.226 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.094.227 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.094.227 W srv  llama_server: -----------------
0.00.095.707 I srv    load_model: loading model '/kaggle/working/models/llava-v1.5-7b-Q4_K_M.gguf'
0.01.642.631 W load_tensors: ffn up/down are swapped
0.01.930.490 I srv    load_model: loaded multimodal model, '/kaggle/working/models/llava-v1.5-7b-mmproj-model-f16.gguf'
0.01.964.808 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'true'
0.01.967.540 I srv  llama_server: model loaded
0.01.967.554 I srv  llama_server: listening on http://127.0.0.1:8812
0.03.969.253 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.03.969.385 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.04.751.859 I slot print_timing: id  3 | task 0 | prompt eval time =     756.77 ms /   114 tokens (    6.64 ms per token,   150.64 tokens per second)
0.04.751.891 I slot print_timing: id  3 | task 0 |        eval time =      25.61 ms /     2 tokens (   12.81 ms per token,    78.09 tokens per second)
0.04.751.893 I slot print_timing: id  3 | task 0 |       total time =     782.39 ms /   116 tokens
0.04.751.902 I slot print_timing: id  3 | task 0 |    graphs reused =          1
0.04.751.980 I slot      release: id  3 | task 0 | stop processing: n_tokens = 115, truncated = 0
0.04.812.670 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.851 (> 0.100 thold), f_keep = 0.843
0.04.812.788 I slot launch_slot_: id  3 | task 4 | processing task, is_child = 0
0.05.044.428 I slot print_timing: id  3 | task 4 | prompt eval time =     207.84 ms /    17 tokens (   12.23 ms per token,    81.80 tokens per second)
0.05.044.458 I slot print_timing: id  3 | task 4 |        eval time =      23.75 ms /     2 tokens (   11.87 ms per token,    84.23 tokens per second)
0.05.044.461 I slot print_timing: id  3 | task 4 |       total time =     231.58 ms /    19 tokens
0.05.044.463 I slot print_timing: id  3 | task 4 |    graphs reused =          1
0.05.044.502 I slot      release: id  3 | task 4 | stop processing: n_tokens = 115, truncated = 0
0.05.104.342 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.858 (> 0.100 thold), f_keep = 0.843
0.05.104.445 I slot launch_slot_: id  3 | task 7 | processing task, is_child = 0
