# argv: /Users/waleedabuujaish/Desktop/vtp/llama.cpp/build-prune/bin/llama-server -m models/llava-v1.5-7b-Q4_K_M.gguf --mmproj models/llava-v1.5-7b-mmproj-model-f16.gguf -t 8 -tb 8 -b 2048 -ub 1024 --jinja --chat-template {%- for message in messages -%}{%- if message['role'] == 'system' -%}{{ message['content'] }}{%- elif message['role'] == 'user' -%} USER: {{ message['content'] }}{%- elif message['role'] == 'assistant' -%} ASSISTANT: {{ message['content'] }}</s>{%- endif -%}{%- endfor -%}{%- if add_generation_prompt -%} ASSISTANT:{%- endif -%} --visual-keep 0.75 --visual-prune-method cls --host 127.0.0.1 --port 8811
0.00.012.502 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.012.747 W srv  llama_server: -----------------
0.00.012.749 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.012.749 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.012.749 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.012.749 W srv  llama_server: -----------------
0.00.014.531 I srv    load_model: loading model 'models/llava-v1.5-7b-Q4_K_M.gguf'
0.04.415.043 W load_tensors: ffn up/down are swapped
0.04.726.543 I srv    load_model: loaded multimodal model, 'models/llava-v1.5-7b-mmproj-model-f16.gguf'
0.04.806.043 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'true'
0.04.807.664 I srv  llama_server: model loaded
0.04.807.667 I srv  llama_server: listening on http://127.0.0.1:8811
0.06.048.673 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.06.048.699 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.11.122.533 I slot print_timing: id  3 | task 0 | prompt eval time =    5026.47 ms /   518 tokens (    9.70 ms per token,   103.05 tokens per second)
0.11.122.537 I slot print_timing: id  3 | task 0 |        eval time =      47.35 ms /     3 tokens (   15.78 ms per token,    63.36 tokens per second)
0.11.122.537 I slot print_timing: id  3 | task 0 |       total time =    5073.81 ms /   521 tokens
0.11.122.538 I slot print_timing: id  3 | task 0 |    graphs reused =          2
0.11.122.563 I slot      release: id  3 | task 0 | stop processing: n_tokens = 520, truncated = 0
0.11.161.896 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
0.11.161.918 I slot launch_slot_: id  2 | task 5 | processing task, is_child = 0
0.16.321.689 I slot print_timing: id  2 | task 5 | prompt eval time =    5067.40 ms /   514 tokens (    9.86 ms per token,   101.43 tokens per second)
0.16.321.693 I slot print_timing: id  2 | task 5 |        eval time =      71.88 ms /     4 tokens (   17.97 ms per token,    55.65 tokens per second)
0.16.321.694 I slot print_timing: id  2 | task 5 |       total time =    5139.29 ms /   518 tokens
0.16.321.694 I slot print_timing: id  2 | task 5 |    graphs reused =          4
0.16.321.707 I slot      release: id  2 | task 5 | stop processing: n_tokens = 517, truncated = 0
0.16.369.272 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
0.16.369.287 I slot launch_slot_: id  1 | task 11 | processing task, is_child = 0
0.21.834.756 I slot print_timing: id  1 | task 11 | prompt eval time =    5420.66 ms /   545 tokens (    9.95 ms per token,   100.54 tokens per second)
0.21.834.759 I slot print_timing: id  1 | task 11 |        eval time =      24.16 ms /     2 tokens (   12.08 ms per token,    82.77 tokens per second)
0.21.834.760 I slot print_timing: id  1 | task 11 |       total time =    5444.82 ms /   547 tokens
0.21.834.760 I slot print_timing: id  1 | task 11 |    graphs reused =          4
0.21.834.776 I slot      release: id  1 | task 11 | stop processing: n_tokens = 546, truncated = 0
0.21.870.111 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.21.870.126 I slot launch_slot_: id  0 | task 15 | processing task, is_child = 0
0.28.368.069 I slot print_timing: id  0 | task 15 | prompt eval time =    6426.46 ms /   658 tokens (    9.77 ms per token,   102.39 tokens per second)
0.28.368.073 I slot print_timing: id  0 | task 15 |        eval time =      49.79 ms /     3 tokens (   16.60 ms per token,    60.25 tokens per second)
0.28.368.073 I slot print_timing: id  0 | task 15 |       total time =    6476.25 ms /   661 tokens
0.28.368.074 I slot print_timing: id  0 | task 15 |    graphs reused =          5
0.28.368.091 I slot      release: id  0 | task 15 | stop processing: n_tokens = 660, truncated = 0
0.28.404.003 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.709 (> 0.100 thold), f_keep = 0.709
0.28.404.122 I slot launch_slot_: id  0 | task 20 | processing task, is_child = 0
0.30.221.444 I slot print_timing: id  0 | task 20 | prompt eval time =    1719.12 ms /   192 tokens (    8.95 ms per token,   111.69 tokens per second)
0.30.221.447 I slot print_timing: id  0 | task 20 |        eval time =      98.19 ms /     5 tokens (   19.64 ms per token,    50.92 tokens per second)
0.30.221.448 I slot print_timing: id  0 | task 20 |       total time =    1817.31 ms /   197 tokens
0.30.221.448 I slot print_timing: id  0 | task 20 |    graphs reused =          8
0.30.221.465 I slot      release: id  0 | task 20 | stop processing: n_tokens = 664, truncated = 0
0.30.268.952 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 222403352574
0.30.269.055 I slot launch_slot_: id  3 | task 26 | processing task, is_child = 0
0.35.537.812 I slot print_timing: id  3 | task 26 | prompt eval time =    5175.59 ms /   504 tokens (   10.27 ms per token,    97.38 tokens per second)
0.35.537.816 I slot print_timing: id  3 | task 26 |        eval time =      69.44 ms /     4 tokens (   17.36 ms per token,    57.60 tokens per second)
0.35.537.816 I slot print_timing: id  3 | task 26 |       total time =    5245.03 ms /   508 tokens
0.35.537.816 I slot print_timing: id  3 | task 26 |    graphs reused =         10
0.35.537.828 I slot      release: id  3 | task 26 | stop processing: n_tokens = 507, truncated = 0
0.35.566.792 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 222408551719
0.35.566.881 I slot launch_slot_: id  2 | task 32 | processing task, is_child = 0
0.40.882.282 I slot print_timing: id  2 | task 32 | prompt eval time =    5154.86 ms /   500 tokens (   10.31 ms per token,    97.00 tokens per second)
0.40.882.286 I slot print_timing: id  2 | task 32 |        eval time =     140.29 ms /     7 tokens (   20.04 ms per token,    49.90 tokens per second)
0.40.882.286 I slot print_timing: id  2 | task 32 |       total time =    5295.15 ms /   507 tokens
0.40.882.286 I slot print_timing: id  2 | task 32 |    graphs reused =         15
0.40.882.299 I slot      release: id  2 | task 32 | stop processing: n_tokens = 506, truncated = 0
0.40.912.403 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.934 (> 0.100 thold), f_keep = 0.927
0.40.912.643 I slot launch_slot_: id  2 | task 41 | processing task, is_child = 0
0.41.309.906 I slot print_timing: id  2 | task 41 | prompt eval time =     327.02 ms /    33 tokens (    9.91 ms per token,   100.91 tokens per second)
0.41.309.910 I slot print_timing: id  2 | task 41 |        eval time =      70.23 ms /     4 tokens (   17.56 ms per token,    56.96 tokens per second)
0.41.309.910 I slot print_timing: id  2 | task 41 |       total time =     397.24 ms /    37 tokens
0.41.309.911 I slot print_timing: id  2 | task 41 |    graphs reused =         17
0.41.309.922 I slot      release: id  2 | task 41 | stop processing: n_tokens = 505, truncated = 0
0.41.352.970 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 222414064787
0.41.353.001 I slot launch_slot_: id  1 | task 46 | processing task, is_child = 0
0.48.209.406 I slot print_timing: id  1 | task 46 | prompt eval time =    6709.78 ms /   662 tokens (   10.14 ms per token,    98.66 tokens per second)
0.48.209.411 I slot print_timing: id  1 | task 46 |        eval time =     125.75 ms /     6 tokens (   20.96 ms per token,    47.71 tokens per second)
0.48.209.411 I slot print_timing: id  1 | task 46 |       total time =    6835.53 ms /   668 tokens
0.48.209.412 I slot print_timing: id  1 | task 46 |    graphs reused =         21
0.48.209.430 I slot      release: id  1 | task 46 | stop processing: n_tokens = 667, truncated = 0
0.48.247.592 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 222422451476
0.48.247.755 I slot launch_slot_: id  0 | task 54 | processing task, is_child = 0
0.53.689.116 I slot print_timing: id  0 | task 54 | prompt eval time =    5334.94 ms /   513 tokens (   10.40 ms per token,    96.16 tokens per second)
0.53.689.120 I slot print_timing: id  0 | task 54 |        eval time =      74.52 ms /     4 tokens (   18.63 ms per token,    53.68 tokens per second)
0.53.689.121 I slot print_timing: id  0 | task 54 |       total time =    5409.46 ms /   517 tokens
0.53.689.121 I slot print_timing: id  0 | task 54 |    graphs reused =         23
0.53.689.135 I slot      release: id  0 | task 54 | stop processing: n_tokens = 516, truncated = 0
0.53.740.764 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 222427767839
0.53.740.824 I slot launch_slot_: id  3 | task 60 | processing task, is_child = 0
0.59.210.919 I slot print_timing: id  3 | task 60 | prompt eval time =    5421.56 ms /   505 tokens (   10.74 ms per token,    93.15 tokens per second)
0.59.210.922 I slot print_timing: id  3 | task 60 |        eval time =      24.14 ms /     2 tokens (   12.07 ms per token,    82.86 tokens per second)
0.59.210.923 I slot print_timing: id  3 | task 60 |       total time =    5445.70 ms /   507 tokens
0.59.210.923 I slot print_timing: id  3 | task 60 |    graphs reused =         23
0.59.210.938 I slot      release: id  3 | task 60 | stop processing: n_tokens = 506, truncated = 0
0.59.261.672 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 222433539933
0.59.261.742 I slot launch_slot_: id  2 | task 64 | processing task, is_child = 0
1.05.455.685 I slot print_timing: id  2 | task 64 | prompt eval time =    6068.86 ms /   585 tokens (   10.37 ms per token,    96.39 tokens per second)
