# argv: /kaggle/working/llama.cpp-prune/build/bin/llama-server -m /kaggle/working/models/llava-v1.5-7b-Q4_K_M.gguf --mmproj /kaggle/working/models/llava-v1.5-7b-mmproj-model-f16.gguf -t 8 -tb 8 -b 2048 -ub 1024 --jinja --chat-template {%- for message in messages -%}{%- if message['role'] == 'system' -%}{{ message['content'] }}{%- elif message['role'] == 'user' -%} USER: {{ message['content'] }}{%- elif message['role'] == 'assistant' -%} ASSISTANT: {{ message['content'] }}</s>{%- endif -%}{%- endfor -%}{%- if add_generation_prompt -%} ASSISTANT:{%- endif -%} --visual-keep 0.25 --visual-prune-method cls --host 127.0.0.1 --port 8811 -ngl 999
0.00.022.046 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.096.022 W srv  llama_server: -----------------
0.00.096.033 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.096.033 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.096.034 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.096.034 W srv  llama_server: -----------------
0.00.097.531 I srv    load_model: loading model '/kaggle/working/models/llava-v1.5-7b-Q4_K_M.gguf'
0.01.703.554 W load_tensors: ffn up/down are swapped
0.02.001.923 I srv    load_model: loaded multimodal model, '/kaggle/working/models/llava-v1.5-7b-mmproj-model-f16.gguf'
0.02.036.264 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'true'
0.02.039.199 I srv  llama_server: model loaded
0.02.039.226 I srv  llama_server: listening on http://127.0.0.1:8811
0.03.980.244 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.03.980.324 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.04.935.415 I slot print_timing: id  3 | task 0 | prompt eval time =     883.60 ms /   230 tokens (    3.84 ms per token,   260.30 tokens per second)
0.04.935.427 I slot print_timing: id  3 | task 0 |        eval time =      71.45 ms /     4 tokens (   17.86 ms per token,    55.98 tokens per second)
0.04.935.428 I slot print_timing: id  3 | task 0 |       total time =     955.05 ms /   234 tokens
0.04.935.434 I slot print_timing: id  3 | task 0 |    graphs reused =          3
0.04.935.504 I slot      release: id  3 | task 0 | stop processing: n_tokens = 233, truncated = 0
0.05.041.209 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.150 (> 0.100 thold), f_keep = 0.146
0.05.152.551 I slot launch_slot_: id  3 | task 6 | processing task, is_child = 0
0.05.840.355 I slot print_timing: id  3 | task 6 | prompt eval time =     617.91 ms /   192 tokens (    3.22 ms per token,   310.72 tokens per second)
0.05.840.367 I slot print_timing: id  3 | task 6 |        eval time =      69.84 ms /     4 tokens (   17.46 ms per token,    57.27 tokens per second)
0.05.840.369 I slot print_timing: id  3 | task 6 |       total time =     687.75 ms /   196 tokens
0.05.840.370 I slot print_timing: id  3 | task 6 |    graphs reused =          5
0.05.840.419 I slot      release: id  3 | task 6 | stop processing: n_tokens = 229, truncated = 0
0.05.976.340 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.132 (> 0.100 thold), f_keep = 0.148
0.06.086.373 I slot launch_slot_: id  3 | task 11 | processing task, is_child = 0
0.06.807.681 I slot print_timing: id  3 | task 11 | prompt eval time =     696.89 ms /   223 tokens (    3.13 ms per token,   319.99 tokens per second)
0.06.807.693 I slot print_timing: id  3 | task 11 |        eval time =      24.36 ms /     2 tokens (   12.18 ms per token,    82.10 tokens per second)
0.06.807.695 I slot print_timing: id  3 | task 11 |       total time =     721.25 ms /   225 tokens
0.06.807.696 I slot print_timing: id  3 | task 11 |    graphs reused =          5
0.06.807.753 I slot      release: id  3 | task 11 | stop processing: n_tokens = 258, truncated = 0
0.06.912.713 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
0.06.912.829 I slot launch_slot_: id  2 | task 14 | processing task, is_child = 0
0.08.044.292 I slot print_timing: id  2 | task 14 | prompt eval time =     952.21 ms /   370 tokens (    2.57 ms per token,   388.57 tokens per second)
0.08.044.324 I slot print_timing: id  2 | task 14 |        eval time =      47.62 ms /     3 tokens (   15.87 ms per token,    63.01 tokens per second)
0.08.044.326 I slot print_timing: id  2 | task 14 |       total time =     999.83 ms /   373 tokens
0.08.044.328 I slot print_timing: id  2 | task 14 |    graphs reused =          6
0.08.044.396 I slot      release: id  2 | task 14 | stop processing: n_tokens = 372, truncated = 0
0.08.144.778 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.484 (> 0.100 thold), f_keep = 0.484
0.08.317.945 I slot launch_slot_: id  2 | task 19 | processing task, is_child = 0
0.08.767.662 I slot print_timing: id  2 | task 19 | prompt eval time =     355.70 ms /   192 tokens (    1.85 ms per token,   539.78 tokens per second)
0.08.767.699 I slot print_timing: id  2 | task 19 |        eval time =      93.88 ms /     5 tokens (   18.78 ms per token,    53.26 tokens per second)
0.08.767.701 I slot print_timing: id  2 | task 19 |       total time =     449.58 ms /   197 tokens
0.08.767.703 I slot print_timing: id  2 | task 19 |    graphs reused =          9
0.08.767.770 I slot      release: id  2 | task 19 | stop processing: n_tokens = 376, truncated = 0
0.08.893.832 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.157 (> 0.100 thold), f_keep = 0.090
0.09.069.431 I slot launch_slot_: id  2 | task 25 | processing task, is_child = 0
0.09.755.342 I slot print_timing: id  2 | task 25 | prompt eval time =     615.83 ms /   182 tokens (    3.38 ms per token,   295.53 tokens per second)
0.09.755.378 I slot print_timing: id  2 | task 25 |        eval time =      69.97 ms /     4 tokens (   17.49 ms per token,    57.16 tokens per second)
0.09.755.381 I slot print_timing: id  2 | task 25 |       total time =     685.81 ms /   186 tokens
0.09.755.383 I slot print_timing: id  2 | task 25 |    graphs reused =         11
0.09.755.427 I slot      release: id  2 | task 25 | stop processing: n_tokens = 219, truncated = 0
0.09.837.258 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.160 (> 0.100 thold), f_keep = 0.155
0.09.940.676 I slot launch_slot_: id  2 | task 30 | processing task, is_child = 0
0.10.692.687 I slot print_timing: id  2 | task 30 | prompt eval time =     613.00 ms /   178 tokens (    3.44 ms per token,   290.37 tokens per second)
0.10.692.716 I slot print_timing: id  2 | task 30 |        eval time =     138.92 ms /     7 tokens (   19.85 ms per token,    50.39 tokens per second)
0.10.692.718 I slot print_timing: id  2 | task 30 |       total time =     751.93 ms /   185 tokens
0.10.692.719 I slot print_timing: id  2 | task 30 |    graphs reused =         16
0.10.692.763 I slot      release: id  2 | task 30 | stop processing: n_tokens = 218, truncated = 0
0.10.773.738 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.846 (> 0.100 thold), f_keep = 0.830
0.10.773.842 I slot launch_slot_: id  2 | task 38 | processing task, is_child = 0
0.11.056.675 I slot print_timing: id  2 | task 38 | prompt eval time =     212.96 ms /    33 tokens (    6.45 ms per token,   154.96 tokens per second)
0.11.056.714 I slot print_timing: id  2 | task 38 |        eval time =      69.81 ms /     4 tokens (   17.45 ms per token,    57.30 tokens per second)
0.11.056.716 I slot print_timing: id  2 | task 38 |       total time =     282.77 ms /    37 tokens
0.11.056.719 I slot print_timing: id  2 | task 38 |    graphs reused =         18
0.11.056.760 I slot      release: id  2 | task 38 | stop processing: n_tokens = 217, truncated = 0
0.11.162.375 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
0.11.162.483 I slot launch_slot_: id  1 | task 43 | processing task, is_child = 0
0.12.320.509 I slot print_timing: id  1 | task 43 | prompt eval time =    1028.59 ms /   374 tokens (    2.75 ms per token,   363.60 tokens per second)
0.12.320.542 I slot print_timing: id  1 | task 43 |        eval time =      24.16 ms /     2 tokens (   12.08 ms per token,    82.78 tokens per second)
0.12.320.545 I slot print_timing: id  1 | task 43 |       total time =    1052.75 ms /   376 tokens
0.12.320.548 I slot print_timing: id  1 | task 43 |    graphs reused =         18
0.12.320.616 I slot      release: id  1 | task 43 | stop processing: n_tokens = 375, truncated = 0
0.12.406.011 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.151 (> 0.100 thold), f_keep = 0.091
0.12.578.864 I slot launch_slot_: id  1 | task 47 | processing task, is_child = 0
0.13.267.075 I slot print_timing: id  1 | task 47 | prompt eval time =     618.11 ms /   191 tokens (    3.24 ms per token,   309.01 tokens per second)
0.13.267.104 I slot print_timing: id  1 | task 47 |        eval time =      70.00 ms /     4 tokens (   17.50 ms per token,    57.14 tokens per second)
0.13.267.105 I slot print_timing: id  1 | task 47 |       total time =     688.11 ms /   195 tokens
0.13.267.107 I slot print_timing: id  1 | task 47 |    graphs reused =         20
0.13.267.155 I slot      release: id  1 | task 47 | stop processing: n_tokens = 228, truncated = 0
0.13.377.188 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.157 (> 0.100 thold), f_keep = 0.149
0.13.485.875 I slot launch_slot_: id  1 | task 52 | processing task, is_child = 0
0.14.125.181 I slot print_timing: id  1 | task 52 | prompt eval time =     615.29 ms /   183 tokens (    3.36 ms per token,   297.42 tokens per second)
0.14.125.212 I slot print_timing: id  1 | task 52 |        eval time =      23.93 ms /     2 tokens (   11.97 ms per token,    83.57 tokens per second)
0.14.125.214 I slot print_timing: id  1 | task 52 |       total time =     639.22 ms /   185 tokens
0.14.125.216 I slot print_timing: id  1 | task 52 |    graphs reused =         20
0.14.125.277 I slot      release: id  1 | task 52 | stop processing: n_tokens = 218, truncated = 0
0.14.241.545 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.114 (> 0.100 thold), f_keep = 0.156
0.14.346.037 I slot launch_slot_: id  1 | task 55 | processing task, is_child = 0
0.15.146.603 I slot print_timing: id  1 | task 55 | prompt eval time =     706.40 ms /   263 tokens (    2.69 ms per token,   372.31 tokens per second)
0.15.146.637 I slot print_timing: id  1 | task 55 |        eval time =      94.07 ms /     5 tokens (   18.81 ms per token,    53.15 tokens per second)
0.15.146.639 I slot print_timing: id  1 | task 55 |       total time =     800.47 ms /   268 tokens
0.15.146.641 I slot print_timing: id  1 | task 55 |    graphs reused =         23
0.15.146.698 I slot      release: id  1 | task 55 | stop processing: n_tokens = 301, truncated = 0
0.15.261.444 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.116 (> 0.100 thold), f_keep = 0.113
0.15.403.082 I slot launch_slot_: id  1 | task 61 | processing task, is_child = 0
0.16.179.713 I slot print_timing: id  1 | task 61 | prompt eval time =     705.47 ms /   258 tokens (    2.73 ms per token,   365.71 tokens per second)
0.16.179.758 I slot print_timing: id  1 | task 61 |        eval time =      71.04 ms /     4 tokens (   17.76 ms per token,    56.31 tokens per second)
0.16.179.761 I slot print_timing: id  1 | task 61 |       total time =     776.52 ms /   262 tokens
0.16.179.764 I slot print_timing: id  1 | task 61 |    graphs reused =         25
0.16.179.829 I slot      release: id  1 | task 61 | stop processing: n_tokens = 295, truncated = 0
0.16.289.496 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.625 (> 0.100 thold), f_keep = 0.610
0.16.289.615 I slot launch_slot_: id  1 | task 66 | processing task, is_child = 0
0.16.710.073 I slot print_timing: id  1 | task 66 | prompt eval time =     303.35 ms /   108 tokens (    2.81 ms per token,   356.02 tokens per second)
0.16.710.107 I slot print_timing: id  1 | task 66 |        eval time =     117.04 ms /     6 tokens (   19.51 ms per token,    51.26 tokens per second)
0.16.710.110 I slot print_timing: id  1 | task 66 |       total time =     420.39 ms /   114 tokens
0.16.710.112 I slot print_timing: id  1 | task 66 |    graphs reused =         29
0.16.710.164 I slot      release: id  1 | task 66 | stop processing: n_tokens = 293, truncated = 0
0.16.772.836 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.159 (> 0.100 thold), f_keep = 0.116
0.16.915.088 I slot launch_slot_: id  1 | task 73 | processing task, is_child = 0
0.17.554.970 I slot print_timing: id  1 | task 73 | prompt eval time =     615.85 ms /   180 tokens (    3.42 ms per token,   292.28 tokens per second)
0.17.555.002 I slot print_timing: id  1 | task 73 |        eval time =      23.92 ms /     2 tokens (   11.96 ms per token,    83.61 tokens per second)
0.17.555.004 I slot print_timing: id  1 | task 73 |       total time =     639.77 ms /   182 tokens
0.17.555.007 I slot print_timing: id  1 | task 73 |    graphs reused =         29
0.17.555.051 I slot      release: id  1 | task 73 | stop processing: n_tokens = 215, truncated = 0
0.17.616.185 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.833 (> 0.100 thold), f_keep = 0.837
0.17.616.295 I slot launch_slot_: id  1 | task 76 | processing task, is_child = 0
0.17.854.157 I slot print_timing: id  1 | task 76 | prompt eval time =     213.92 ms /    36 tokens (    5.94 ms per token,   168.29 tokens per second)
0.17.854.188 I slot print_timing: id  1 | task 76 |        eval time =      23.88 ms /     2 tokens (   11.94 ms per token,    83.76 tokens per second)
0.17.854.191 I slot print_timing: id  1 | task 76 |       total time =     237.80 ms /    38 tokens
0.17.854.192 I slot print_timing: id  1 | task 76 |    graphs reused =         29
0.17.854.245 I slot      release: id  1 | task 76 | stop processing: n_tokens = 217, truncated = 0
