# argv: /kaggle/working/llama.cpp-prune/build/bin/llama-server -m /kaggle/working/models/llava-v1.5-7b-Q4_K_M.gguf --mmproj /kaggle/working/models/llava-v1.5-7b-mmproj-model-f16.gguf -t 8 -tb 8 -b 2048 -ub 1024 --jinja --chat-template {%- for message in messages -%}{%- if message['role'] == 'system' -%}{{ message['content'] }}{%- elif message['role'] == 'user' -%} USER: {{ message['content'] }}{%- elif message['role'] == 'assistant' -%} ASSISTANT: {{ message['content'] }}</s>{%- endif -%}{%- endfor -%}{%- if add_generation_prompt -%} ASSISTANT:{%- endif -%} --visual-keep 0.75 --visual-prune-method cls --host 127.0.0.1 --port 8812 -ngl 999
0.00.022.982 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.096.768 W srv  llama_server: -----------------
0.00.096.777 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.096.777 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.096.778 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.096.778 W srv  llama_server: -----------------
0.00.098.223 I srv    load_model: loading model '/kaggle/working/models/llava-v1.5-7b-Q4_K_M.gguf'
0.01.688.613 W load_tensors: ffn up/down are swapped
0.01.976.948 I srv    load_model: loaded multimodal model, '/kaggle/working/models/llava-v1.5-7b-mmproj-model-f16.gguf'
0.02.011.302 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'true'
0.02.014.177 I srv  llama_server: model loaded
0.02.014.214 I srv  llama_server: listening on http://127.0.0.1:8812
0.03.976.250 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.03.976.402 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.05.117.546 I slot print_timing: id  3 | task 0 | prompt eval time =    1113.86 ms /   488 tokens (    2.28 ms per token,   438.12 tokens per second)
0.05.117.559 I slot print_timing: id  3 | task 0 |        eval time =      27.21 ms /     2 tokens (   13.61 ms per token,    73.49 tokens per second)
0.05.117.562 I slot print_timing: id  3 | task 0 |       total time =    1141.08 ms /   490 tokens
0.05.117.570 I slot print_timing: id  3 | task 0 |    graphs reused =          1
0.05.117.641 I slot      release: id  3 | task 0 | stop processing: n_tokens = 489, truncated = 0
0.05.192.998 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.965 (> 0.100 thold), f_keep = 0.963
0.05.193.074 I slot launch_slot_: id  3 | task 4 | processing task, is_child = 0
0.05.425.640 I slot print_timing: id  3 | task 4 | prompt eval time =     208.48 ms /    17 tokens (   12.26 ms per token,    81.54 tokens per second)
0.05.425.651 I slot print_timing: id  3 | task 4 |        eval time =      24.04 ms /     2 tokens (   12.02 ms per token,    83.19 tokens per second)
0.05.425.652 I slot print_timing: id  3 | task 4 |       total time =     232.52 ms /    19 tokens
0.05.425.653 I slot print_timing: id  3 | task 4 |    graphs reused =          1
0.05.425.680 I slot      release: id  3 | task 4 | stop processing: n_tokens = 489, truncated = 0
0.05.485.973 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.967 (> 0.100 thold), f_keep = 0.963
0.05.486.037 I slot launch_slot_: id  3 | task 7 | processing task, is_child = 0
0.05.729.031 I slot print_timing: id  3 | task 7 | prompt eval time =     218.84 ms /    16 tokens (   13.68 ms per token,    73.11 tokens per second)
0.05.729.042 I slot print_timing: id  3 | task 7 |        eval time =      24.12 ms /     2 tokens (   12.06 ms per token,    82.92 tokens per second)
0.05.729.043 I slot print_timing: id  3 | task 7 |       total time =     242.96 ms /    18 tokens
0.05.729.045 I slot print_timing: id  3 | task 7 |    graphs reused =          1
0.05.729.073 I slot      release: id  3 | task 7 | stop processing: n_tokens = 488, truncated = 0
0.05.789.219 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.967 (> 0.100 thold), f_keep = 0.965
0.05.789.279 I slot launch_slot_: id  3 | task 10 | processing task, is_child = 0
0.06.028.948 I slot print_timing: id  3 | task 10 | prompt eval time =     215.55 ms /    16 tokens (   13.47 ms per token,    74.23 tokens per second)
0.06.028.959 I slot print_timing: id  3 | task 10 |        eval time =      24.09 ms /     2 tokens (   12.04 ms per token,    83.04 tokens per second)
0.06.028.960 I slot print_timing: id  3 | task 10 |       total time =     239.63 ms /    18 tokens
0.06.028.961 I slot print_timing: id  3 | task 10 |    graphs reused =          1
0.06.028.988 I slot      release: id  3 | task 10 | stop processing: n_tokens = 488, truncated = 0
0.06.089.628 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.965 (> 0.100 thold), f_keep = 0.965
0.06.089.690 I slot launch_slot_: id  3 | task 13 | processing task, is_child = 0
0.06.322.010 I slot print_timing: id  3 | task 13 | prompt eval time =     208.28 ms /    17 tokens (   12.25 ms per token,    81.62 tokens per second)
0.06.322.023 I slot print_timing: id  3 | task 13 |        eval time =      24.00 ms /     2 tokens (   12.00 ms per token,    83.32 tokens per second)
0.06.322.024 I slot print_timing: id  3 | task 13 |       total time =     232.28 ms /    19 tokens
0.06.322.025 I slot print_timing: id  3 | task 13 |    graphs reused =          1
0.06.322.105 I slot      release: id  3 | task 13 | stop processing: n_tokens = 489, truncated = 0
0.06.382.499 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.967 (> 0.100 thold), f_keep = 0.963
0.06.382.561 I slot launch_slot_: id  3 | task 16 | processing task, is_child = 0
0.06.622.234 I slot print_timing: id  3 | task 16 | prompt eval time =     215.65 ms /    16 tokens (   13.48 ms per token,    74.19 tokens per second)
0.06.622.245 I slot print_timing: id  3 | task 16 |        eval time =      23.98 ms /     2 tokens (   11.99 ms per token,    83.39 tokens per second)
0.06.622.247 I slot print_timing: id  3 | task 16 |       total time =     239.64 ms /    18 tokens
0.06.622.248 I slot print_timing: id  3 | task 16 |    graphs reused =          1
0.06.622.308 I slot      release: id  3 | task 16 | stop processing: n_tokens = 488, truncated = 0
0.06.684.807 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
0.06.684.878 I slot launch_slot_: id  2 | task 19 | processing task, is_child = 0
0.07.985.083 I slot print_timing: id  2 | task 19 | prompt eval time =    1050.54 ms /   488 tokens (    2.15 ms per token,   464.52 tokens per second)
0.07.985.097 I slot print_timing: id  2 | task 19 |        eval time =      24.06 ms /     2 tokens (   12.03 ms per token,    83.13 tokens per second)
0.07.985.098 I slot print_timing: id  2 | task 19 |       total time =    1074.60 ms /   490 tokens
0.07.985.100 I slot print_timing: id  2 | task 19 |    graphs reused =          1
0.07.985.155 I slot      release: id  2 | task 19 | stop processing: n_tokens = 489, truncated = 0
0.08.046.528 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.967 (> 0.100 thold), f_keep = 0.963
0.08.046.593 I slot launch_slot_: id  2 | task 23 | processing task, is_child = 0
0.08.286.228 I slot print_timing: id  2 | task 23 | prompt eval time =     215.59 ms /    16 tokens (   13.47 ms per token,    74.21 tokens per second)
0.08.286.238 I slot print_timing: id  2 | task 23 |        eval time =      24.01 ms /     2 tokens (   12.01 ms per token,    83.30 tokens per second)
0.08.286.239 I slot print_timing: id  2 | task 23 |       total time =     239.60 ms /    18 tokens
0.08.286.240 I slot print_timing: id  2 | task 23 |    graphs reused =          1
0.08.286.266 I slot      release: id  2 | task 23 | stop processing: n_tokens = 488, truncated = 0
0.08.344.218 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.967 (> 0.100 thold), f_keep = 0.965
0.08.344.275 I slot launch_slot_: id  2 | task 26 | processing task, is_child = 0
0.08.583.907 I slot print_timing: id  2 | task 26 | prompt eval time =     215.53 ms /    16 tokens (   13.47 ms per token,    74.24 tokens per second)
0.08.583.919 I slot print_timing: id  2 | task 26 |        eval time =      24.07 ms /     2 tokens (   12.03 ms per token,    83.09 tokens per second)
0.08.583.920 I slot print_timing: id  2 | task 26 |       total time =     239.60 ms /    18 tokens
0.08.583.921 I slot print_timing: id  2 | task 26 |    graphs reused =          1
0.08.583.952 I slot      release: id  2 | task 26 | stop processing: n_tokens = 488, truncated = 0
0.08.644.116 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.963 (> 0.100 thold), f_keep = 0.965
0.08.644.179 I slot launch_slot_: id  2 | task 29 | processing task, is_child = 0
0.08.876.991 I slot print_timing: id  2 | task 29 | prompt eval time =     208.72 ms /    18 tokens (   11.60 ms per token,    86.24 tokens per second)
0.08.877.001 I slot print_timing: id  2 | task 29 |        eval time =      24.05 ms /     2 tokens (   12.03 ms per token,    83.15 tokens per second)
