# argv: /Users/waleedabuujaish/Desktop/vtp/llama.cpp/build-prune/bin/llama-server -m models/llava-v1.5-7b-Q4_K_M.gguf --mmproj models/llava-v1.5-7b-mmproj-model-f16.gguf -t 8 -tb 8 -b 2048 -ub 1024 --jinja --chat-template {%- for message in messages -%}{%- if message['role'] == 'system' -%}{{ message['content'] }}{%- elif message['role'] == 'user' -%} USER: {{ message['content'] }}{%- elif message['role'] == 'assistant' -%} ASSISTANT: {{ message['content'] }}</s>{%- endif -%}{%- endfor -%}{%- if add_generation_prompt -%} ASSISTANT:{%- endif -%} --visual-keep 0.5 --visual-prune-method cls --host 127.0.0.1 --port 8811
0.00.004.727 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.004.955 W srv  llama_server: -----------------
0.00.004.956 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.004.956 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.004.956 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.004.956 W srv  llama_server: -----------------
0.00.006.721 I srv    load_model: loading model 'models/llava-v1.5-7b-Q4_K_M.gguf'
0.04.162.900 W load_tensors: ffn up/down are swapped
0.04.467.135 I srv    load_model: loaded multimodal model, 'models/llava-v1.5-7b-mmproj-model-f16.gguf'
0.04.530.391 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'true'
0.04.532.159 I srv  llama_server: model loaded
0.04.532.162 I srv  llama_server: listening on http://127.0.0.1:8811
0.06.035.179 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.06.035.195 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.09.846.386 I slot print_timing: id  3 | task 0 | prompt eval time =    3765.99 ms /   374 tokens (   10.07 ms per token,    99.31 tokens per second)
0.09.846.390 I slot print_timing: id  3 | task 0 |        eval time =      45.18 ms /     3 tokens (   15.06 ms per token,    66.40 tokens per second)
0.09.846.390 I slot print_timing: id  3 | task 0 |       total time =    3811.17 ms /   377 tokens
0.09.846.390 I slot print_timing: id  3 | task 0 |    graphs reused =          2
0.09.846.411 I slot      release: id  3 | task 0 | stop processing: n_tokens = 376, truncated = 0
0.09.885.734 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
0.09.885.747 I slot launch_slot_: id  2 | task 5 | processing task, is_child = 0
0.13.783.421 I slot print_timing: id  2 | task 5 | prompt eval time =    3814.49 ms /   370 tokens (   10.31 ms per token,    97.00 tokens per second)
0.13.783.425 I slot print_timing: id  2 | task 5 |        eval time =      68.61 ms /     4 tokens (   17.15 ms per token,    58.30 tokens per second)
0.13.783.425 I slot print_timing: id  2 | task 5 |       total time =    3883.11 ms /   374 tokens
0.13.783.425 I slot print_timing: id  2 | task 5 |    graphs reused =          4
0.13.783.438 I slot      release: id  2 | task 5 | stop processing: n_tokens = 373, truncated = 0
0.13.830.752 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
0.13.830.766 I slot launch_slot_: id  1 | task 11 | processing task, is_child = 0
0.18.008.134 I slot print_timing: id  1 | task 11 | prompt eval time =    4138.62 ms /   401 tokens (   10.32 ms per token,    96.89 tokens per second)
0.18.008.137 I slot print_timing: id  1 | task 11 |        eval time =      23.08 ms /     2 tokens (   11.54 ms per token,    86.66 tokens per second)
0.18.008.137 I slot print_timing: id  1 | task 11 |       total time =    4161.69 ms /   403 tokens
0.18.008.138 I slot print_timing: id  1 | task 11 |    graphs reused =          4
0.18.008.153 I slot      release: id  1 | task 11 | stop processing: n_tokens = 402, truncated = 0
0.18.043.904 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.18.043.918 I slot launch_slot_: id  0 | task 15 | processing task, is_child = 0
0.23.226.115 I slot print_timing: id  0 | task 15 | prompt eval time =    5118.43 ms /   514 tokens (    9.96 ms per token,   100.42 tokens per second)
0.23.226.118 I slot print_timing: id  0 | task 15 |        eval time =      48.11 ms /     3 tokens (   16.04 ms per token,    62.35 tokens per second)
0.23.226.119 I slot print_timing: id  0 | task 15 |       total time =    5166.55 ms /   517 tokens
0.23.226.119 I slot print_timing: id  0 | task 15 |    graphs reused =          5
0.23.226.135 I slot      release: id  0 | task 15 | stop processing: n_tokens = 516, truncated = 0
0.23.261.717 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.628 (> 0.100 thold), f_keep = 0.628
0.23.261.733 I slot launch_slot_: id  0 | task 20 | processing task, is_child = 0
0.25.068.641 I slot print_timing: id  0 | task 20 | prompt eval time =    1705.01 ms /   192 tokens (    8.88 ms per token,   112.61 tokens per second)
0.25.068.644 I slot print_timing: id  0 | task 20 |        eval time =     101.89 ms /     5 tokens (   20.38 ms per token,    49.07 tokens per second)
0.25.068.644 I slot print_timing: id  0 | task 20 |       total time =    1806.89 ms /   197 tokens
0.25.068.645 I slot print_timing: id  0 | task 20 |    graphs reused =          8
0.25.068.661 I slot      release: id  0 | task 20 | stop processing: n_tokens = 520, truncated = 0
0.25.115.429 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 223234152206
0.25.115.446 I slot launch_slot_: id  3 | task 26 | processing task, is_child = 0
0.29.214.843 I slot print_timing: id  3 | task 26 | prompt eval time =    4009.57 ms /   360 tokens (   11.14 ms per token,    89.79 tokens per second)
0.29.214.847 I slot print_timing: id  3 | task 26 |        eval time =      68.75 ms /     4 tokens (   17.19 ms per token,    58.18 tokens per second)
0.29.214.847 I slot print_timing: id  3 | task 26 |       total time =    4078.32 ms /   364 tokens
0.29.214.848 I slot print_timing: id  3 | task 26 |    graphs reused =         10
0.29.214.861 I slot      release: id  3 | task 26 | stop processing: n_tokens = 363, truncated = 0
0.29.243.817 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 223238089233
0.29.243.841 I slot launch_slot_: id  2 | task 32 | processing task, is_child = 0
0.33.233.393 I slot print_timing: id  2 | task 32 | prompt eval time =    3839.02 ms /   356 tokens (   10.78 ms per token,    92.73 tokens per second)
