# argv: /kaggle/working/llama.cpp-prune/build/bin/llama-server -m /kaggle/working/models/llava-v1.5-7b-Q4_K_M.gguf --mmproj /kaggle/working/models/llava-v1.5-7b-mmproj-model-f16.gguf -t 8 -tb 8 -b 2048 -ub 1024 --jinja --chat-template {%- for message in messages -%}{%- if message['role'] == 'system' -%}{{ message['content'] }}{%- elif message['role'] == 'user' -%} USER: {{ message['content'] }}{%- elif message['role'] == 'assistant' -%} ASSISTANT: {{ message['content'] }}</s>{%- endif -%}{%- endfor -%}{%- if add_generation_prompt -%} ASSISTANT:{%- endif -%} --visual-keep 0.05 --visual-prune-method cls --host 127.0.0.1 --port 8811 -ngl 999
0.00.021.831 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.094.134 W srv  llama_server: -----------------
0.00.094.142 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.094.142 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.094.143 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.094.143 W srv  llama_server: -----------------
0.00.095.589 I srv    load_model: loading model '/kaggle/working/models/llava-v1.5-7b-Q4_K_M.gguf'
0.01.698.104 W load_tensors: ffn up/down are swapped
0.01.997.285 I srv    load_model: loaded multimodal model, '/kaggle/working/models/llava-v1.5-7b-mmproj-model-f16.gguf'
0.02.031.755 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'true'
0.02.034.635 I srv  llama_server: model loaded
0.02.034.675 I srv  llama_server: listening on http://127.0.0.1:8811
0.03.984.403 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.03.984.486 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.04.779.714 I slot print_timing: id  3 | task 0 | prompt eval time =     745.37 ms /   115 tokens (    6.48 ms per token,   154.29 tokens per second)
0.04.779.725 I slot print_timing: id  3 | task 0 |        eval time =      49.79 ms /     3 tokens (   16.60 ms per token,    60.25 tokens per second)
0.04.779.726 I slot print_timing: id  3 | task 0 |       total time =     795.16 ms /   118 tokens
0.04.779.733 I slot print_timing: id  3 | task 0 |    graphs reused =          2
0.04.779.806 I slot      release: id  3 | task 0 | stop processing: n_tokens = 117, truncated = 0
0.04.886.738 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.306 (> 0.100 thold), f_keep = 0.291
0.04.946.260 I slot launch_slot_: id  3 | task 5 | processing task, is_child = 0
0.05.509.668 I slot print_timing: id  3 | task 5 | prompt eval time =     493.31 ms /    77 tokens (    6.41 ms per token,   156.09 tokens per second)
0.05.509.679 I slot print_timing: id  3 | task 5 |        eval time =      70.05 ms /     4 tokens (   17.51 ms per token,    57.10 tokens per second)
0.05.509.680 I slot print_timing: id  3 | task 5 |       total time =     563.36 ms /    81 tokens
0.05.509.682 I slot print_timing: id  3 | task 5 |    graphs reused =          4
0.05.509.717 I slot      release: id  3 | task 5 | stop processing: n_tokens = 114, truncated = 0
0.05.646.661 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.239 (> 0.100 thold), f_keep = 0.298
0.05.704.350 I slot launch_slot_: id  3 | task 10 | processing task, is_child = 0
0.06.294.664 I slot print_timing: id  3 | task 10 | prompt eval time =     566.31 ms /   108 tokens (    5.24 ms per token,   190.71 tokens per second)
0.06.294.676 I slot print_timing: id  3 | task 10 |        eval time =      23.96 ms /     2 tokens (   11.98 ms per token,    83.48 tokens per second)
0.06.294.677 I slot print_timing: id  3 | task 10 |       total time =     590.26 ms /   110 tokens
0.06.294.678 I slot print_timing: id  3 | task 10 |    graphs reused =          4
0.06.294.749 I slot      release: id  3 | task 10 | stop processing: n_tokens = 143, truncated = 0
0.06.391.032 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.133 (> 0.100 thold), f_keep = 0.238
0.06.463.176 I slot launch_slot_: id  3 | task 13 | processing task, is_child = 0
0.07.136.286 I slot print_timing: id  3 | task 13 | prompt eval time =     625.23 ms /   221 tokens (    2.83 ms per token,   353.47 tokens per second)
0.07.136.297 I slot print_timing: id  3 | task 13 |        eval time =      47.84 ms /     3 tokens (   15.95 ms per token,    62.71 tokens per second)
0.07.136.298 I slot print_timing: id  3 | task 13 |       total time =     673.06 ms /   224 tokens
0.07.136.300 I slot print_timing: id  3 | task 13 |    graphs reused =          4
0.07.136.338 I slot      release: id  3 | task 13 | stop processing: n_tokens = 257, truncated = 0
0.07.233.855 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.253 (> 0.100 thold), f_keep = 0.253
0.07.356.080 I slot launch_slot_: id  3 | task 17 | processing task, is_child = 0
0.07.806.859 I slot print_timing: id  3 | task 17 | prompt eval time =     356.84 ms /   192 tokens (    1.86 ms per token,   538.05 tokens per second)
0.07.806.870 I slot print_timing: id  3 | task 17 |        eval time =      93.89 ms /     5 tokens (   18.78 ms per token,    53.26 tokens per second)
0.07.806.872 I slot print_timing: id  3 | task 17 |       total time =     450.73 ms /   197 tokens
0.07.806.873 I slot print_timing: id  3 | task 17 |    graphs reused =          7
0.07.806.916 I slot      release: id  3 | task 17 | stop processing: n_tokens = 261, truncated = 0
0.07.944.923 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.337 (> 0.100 thold), f_keep = 0.130
0.08.070.603 I slot launch_slot_: id  3 | task 23 | processing task, is_child = 0
0.08.630.111 I slot print_timing: id  3 | task 23 | prompt eval time =     489.53 ms /    67 tokens (    7.31 ms per token,   136.87 tokens per second)
0.08.630.122 I slot print_timing: id  3 | task 23 |        eval time =      69.93 ms /     4 tokens (   17.48 ms per token,    57.20 tokens per second)
0.08.630.124 I slot print_timing: id  3 | task 23 |       total time =     559.46 ms /    71 tokens
0.08.630.125 I slot print_timing: id  3 | task 23 |    graphs reused =          9
0.08.630.157 I slot      release: id  3 | task 23 | stop processing: n_tokens = 104, truncated = 0
0.08.712.654 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.351 (> 0.100 thold), f_keep = 0.327
0.08.765.156 I slot launch_slot_: id  3 | task 28 | processing task, is_child = 0
